,Nr camere,Suprafata utila,Suprafata utila totala,Suprafata construita,Compartimentare,Confort,Etaj,Nr. bucatarii,Nr. bai,An constructie,Structura rezistenta,Tip imobil,Regim inaltime,Nr. garaje,Nr. locuri parcare,Nr. balcoane,Latitudine,Longitudine,Zona,Pret
3333,4,90,105,124,semidecomand,1,Etaj 3 / 4,1,3,2018,beton,bloc de apartamente,P+4E,NaN,2,1,44.5369179,26.0935373,Băneasa,139.000 
3334,1,42,50.2,"51,72 ",NaN,NaN,Etaj 3 / 10,1,1,2022 (in constructie),beton,bloc de apartamente,P+10E,NaN,1,1,44.5354696,26.0927102,Pipera,69.542 
3335,1,"41,96 ",50.16,"61,98 ",semidecomand,NaN,Etaj 3 / 10,1,1,2022 (in constructie),beton,bloc de apartamente,P+10E,NaN,1,1,44.5354696,26.0927102,Pipera,69.541 
3336,2,42,51,61,NaN,lux,Etaj 3 / 10,1,1,2021 (in constructie),beton,bloc de apartamente,P+10E,NaN,NaN,1,44.5321763,26.1002964,Băneasa,69.542 
3337,2,42,52,62,NaN,lux,Etaj 4,1,1,2021 (in constructie),beton,bloc de apartamente,NaN,NaN,NaN,1,44.5325639,26.0998032,Băneasa,69.542 
3338,2,50,58,75,semidecomand,lux,Etaj 3 / 6,1,1,2021 (in constructie),beton,bloc de apartamente,P+6E,NaN,1,1,44.5299788,26.1028478,Băneasa,107.022 
3339,2,61,68,76,NaN,lux,Etaj 4,1,1,2021 (in constructie),beton,bloc de apartamente,NaN,NaN,NaN,1,44.5327676,26.100618,Băneasa,84.161 
3340,2,56,56,68,decomand,1,Etaj 4 / 6,1,1,2020,beton,bloc de apartamente,P+6E,NaN,NaN,1,44.380787,26.1697469,Sud,67.000 
3341,3,89,NaN,100,semidecomand,lux,Etaj 1 / 4,1,2,2018,beton,bloc de apartamente,P+4E,1,1,NaN,44.4660561,26.0620218,Arcul de Triumf,245.000 
3342,1,41,NaN,45,decomand,lux,Etaj 3 / 7,1,1,2020,beton,bloc de apartamente,P+7E,NaN,NaN,1,44.4355302,26.1292424,Calea Călăraşilor,75.000 
3343,4,153,190,210,decomand,1,Ultimele 2 etaje / 3,1,3,2021 (in constructie),beton,bloc de apartamente,P+3E+M,NaN,2,5,44.4964907,26.062611,Străuleşti,280.000 
3344,2,57,NaN,70,decomand,lux,Etaj 3 / 5,1,1,2020,beton,bloc de apartamente,D+P+5E,NaN,NaN,1,44.3726121,26.1129653,Brâncoveanu,69.500 
3345,3,105,NaN,120,semidecomand,1,Etaj 3 / 6,1,2,2020,NaN,bloc de apartamente,P+6E,1,1,2,44.490009,26.0952146,Băneasa,155.000 
3346,3,156,NaN,NaN,decomand,lux,Parter / 5,1,2,2009,NaN,bloc de apartamente,P+5E,1,1,1,44.4826709,26.0787664,Şoseaua Nordului,380.000 
3347,3,"80,6 ",NaN,"95,21 ",decomand,1,Etaj 2 / 3,1,2,2021 (in constructie),beton,bloc de apartamente,P+3E+M,NaN,NaN,1,44.4208571,26.0802753,13 Septembrie,124.900 
3348,2,"47,99 ",NaN,"57,25 ",decomand,lux,Etaj 1 / 3,1,1,2021 (in constructie),beton,bloc de apartamente,P+3E,NaN,NaN,2,44.4502627,26.1054869,Ştefan cel Mare,125.000 
3349,2,"49,45 ",NaN,"64,45 ",semidecomand,1,Etaj 2 / 10,1,1,2021 (in constructie),beton,bloc de apartamente,P+10E,NaN,NaN,1,44.4176131,26.0004832,Drumul Taberei,55.000 
3350,3,"96,56 ",NaN,"112,82 ",decomand,1,Etaj 1 / 3,1,2,2021 (in constructie),beton,bloc de apartamente,P+3E+M,NaN,NaN,NaN,44.4208801,26.0802753,13 Septembrie,143.900 
3351,2,67,NaN,70,decomand,lux,Etaj 9 / 10,1,1,1980,NaN,bloc de apartamente,P+10E,NaN,NaN,1,44.4395424,26.1156582,Moşilor,100.000 
3352,3,64,NaN,64,decomand,1,Etaj 2 / 3,1,1,2011,beton,bloc de apartamente,P+3E,NaN,1,2 (1 închise),44.3650988,26.1573241,Sud,69.000 
3353,3,102,130,149,decomand,1,Etaj 2 / 8,1,2,2011,beton,bloc de apartamente,S+P+8E,NaN,1,1,44.5307534,26.1431036,Pipera,125.000 
3354,6,210,NaN,250,decomand,lux,Etaj 1 / 2,1,3,1938,beton,casa/vila,P+2E,NaN,NaN,1,44.4366544,26.100335,P-ţa Universităţii,485.000 
3355,3,118,NaN,150,decomand,lux,Etaj 3 / 5,1,2,2020,NaN,bloc de apartamente,P+5E,1,1,NaN,44.442087,26.1109351,Grădina Icoanei,460.000 
3356,1,"44,2 ",44.2,"58,7 ",decomand,lux,Etaj 9 / 10,1,1,2020,beton,bloc de apartamente,S+P+10E,NaN,NaN,1,44.4303367,26.0597035,Cotroceni,105.660 
3357,2,"54,02 ",55,58,decomand,lux,Etaj 6 / 7,1,1,2020,beton,bloc de apartamente,P+7E,NaN,NaN,1,44.403612,26.131264,Mihai Bravu,86.880 
3358,2,65,NaN,NaN,decomand,lux,Etaj 1 / 3,1,1,2020,beton,bloc de apartamente,S+P+3E+M,NaN,NaN,1,44.5084537,26.0205609,Siseşti,84.500 
3359,2,56,NaN,56,semidecomand,1,Etaj 4 / 8,1,1,2020,beton,bloc de apartamente,P+8E,NaN,NaN,1 (închise),44.3723023,26.1152588,Brâncoveanu,51.300 
3360,3,72,NaN,72,decomand,1,Parter / 5,1,2,2020,NaN,bloc de apartamente,P+5E,NaN,NaN,NaN,44.3652465,26.1124712,Brâncoveanu,71.500 
3361,4,"108,1 ",119.3,"128,5 ",decomand,lux,Etaj 8 / 8,1,3,2021 (in constructie),beton,bloc de apartamente,S+P+8E,NaN,NaN,1,44.4178494,26.1159088,Unirii,239.500 
